btree,gridDimensions,gridObstacles,maxSimSteps,treeComplexityPenalty,backtrackingPenalty,collisionPenalty,idlePenalty,phototaxisReward,fitness
Random,7,7,60,0.0,-29.5,0.0,-119.4,2.8,-146.1
Exp1,7,7,60,0.0,-7.5,-10.3,-17.4,77.8,42.7
Exp2,7,7,60,0.0,-6.5,0.0,-9.4,94.5,78.7
Exp3,7,7,60,0.0,-5.5,-8.1,-14.4,100.0,72.3
Handcrafted1,7,7,80,0.0,-6.3,0.0,-9.3,100.0,84.5
Handcrafted2,7,7,80,0.0,-3.0,-12.6,-8.9,100.0,75.7
Random,7,7,80,0.0,-29.5,0.0,-119.0,5.6,-143.0
Exp1,7,7,80,0.0,-13.8,-12.2,-19.0,63.9,19.1
Exp2,7,7,80,0.0,-9.5,0.0,-20.2,88.9,59.3
Exp3,7,7,80,0.0,-11.7,-19.8,-31.0,80.6,18.3
Handcrafted1,7,7,100,0.0,-15.3,0.0,-19.1,86.2,51.9
Handcrafted2,7,7,100,0.0,-10.4,-7.6,-24.2,100.0,58.0
Random,7,7,100,0.0,-29.7,0.0,-119.7,2.8,-146.6
Exp1,7,7,100,0.0,-12.2,-14.5,-23.1,100.0,50.3
Exp2,7,7,100,0.0,-14.8,0.0,-18.8,52.8,19.3
Exp3,7,7,100,0.0,-11.9,-10.1,-17.0,88.9,50.0
Handcrafted1,7,9,50,0.0,-9.5,0.0,-23.8,77.8,44.6
Handcrafted2,7,9,50,0.0,-4.3,-11.6,-15.7,100.0,68.6
Random,7,9,50,0.0,-28.8,0.0,-113.7,5.6,-136.9
Exp1,7,9,50,0.0,-13.3,-20.3,-32.5,72.3,6.4
Exp2,7,9,50,0.0,-12.3,0.0,-23.6,72.3,36.5
Exp3,7,9,50,0.0,-4.7,-3.3,-7.5,72.3,57.0
Handcrafted1,7,9,60,0.0,-13.2,0.0,-23.0,80.6,44.6
Handcrafted2,7,9,60,0.0,-4.8,-11.8,-11.2,100.0,72.4
Random,7,9,60,0.0,-29.2,0.0,-117.4,0.0,-146.5
Exp1,7,9,60,0.0,-3.6,-4.0,-8.2,100.0,84.4
Exp2,7,9,60,0.0,-18.9,0.0,-31.7,41.7,-8.9
Exp3,7,9,60,0.0,-12.4,-12.1,-19.0,61.2,17.8
Handcrafted1,7,9,80,0.0,-8.7,0.0,-7.8,100.0,83.7
Handcrafted2,7,9,80,0.0,-4.6,-11.3,-7.6,100.0,76.8
Random,7,9,80,0.0,-28.9,0.0,-113.5,8.4,-134.1
Exp1,7,9,80,0.0,-8.7,-9.9,-17.0,88.9,53.6
Exp2,7,9,80,0.0,-1.1,0.0,-3.6,100.0,95.4
Exp3,7,9,80,0.0,-17.4,-14.4,-22.3,47.3,-6.8
Handcrafted1,7,9,100,0.0,-16.8,0.0,-37.2,80.6,26.7
Handcrafted2,7,9,100,0.0,-11.2,-6.0,-28.4,100.0,54.6
Random,7,9,100,0.0,-29.7,0.0,-119.7,2.8,-146.6
Exp1,7,9,100,0.0,-11.6,-16.1,-25.8,100.0,46.7
Exp2,7,9,100,0.0,-14.0,0.0,-25.5,75.0,35.6
Exp3,7,9,100,0.0,-13.9,-17.0,-26.5,100.0,42.8
Handcrafted1,9,5,50,0.0,-1.5,0.0,-4.0,68.8,63.5
Handcrafted2,9,5,50,0.0,-4.4,-7.4,-8.6,83.4,63.2
Random,9,5,50,0.0,-29.2,0.0,-118.4,0.0,-147.6
Exp1,9,5,50,0.0,-6.5,-5.5,-9.5,70.9,49.5
Exp2,9,5,50,0.0,-1.7,0.0,-2.4,87.5,83.4
Exp3,9,5,50,0.0,-6.6,-4.8,-8.4,73.0,53.4
Handcrafted1,9,5,60,0.0,-6.7,0.0,-11.7,70.9,52.6
Handcrafted2,9,5,60,0.0,-2.9,-9.0,-4.9,100.0,83.5
Random,9,5,60,0.0,-28.7,0.0,-114.7,8.4,-135.0
Exp1,9,5,60,0.0,-8.9,-9.4,-14.7,39.6,6.8
Exp2,9,5,60,0.0,-6.8,0.0,-7.9,50.0,35.5
Exp3,9,5,60,0.0,-4.5,-4.2,-7.0,68.8,53.2
Handcrafted1,9,5,80,0.0,-4.9,0.0,-8.2,100.0,87.1
Handcrafted2,9,5,80,0.0,0.0,-7.8,-3.7,100.0,88.7
Random,9,5,80,0.0,-29.3,0.0,-116.5,6.3,-139.5
Exp1,9,5,80,0.0,-12.5,-10.8,-17.4,62.5,22.1
Exp2,9,5,80,0.0,-13.9,0.0,-15.3,43.8,14.7
Exp3,9,5,80,0.0,-7.2,-3.2,-5.2,73.0,57.5
Handcrafted1,9,5,100,0.0,-9.0,0.0,-8.3,66.7,49.5
Handcrafted2,9,5,100,0.0,-3.1,-9.4,-5.7,100.0,82.1
Random,9,5,100,0.0,-29.7,0.0,-119.7,2.1,-147.3
Exp1,9,5,100,0.0,-7.1,-3.3,-6.0,75.0,58.9
Exp2,9,5,100,0.0,-8.2,0.0,-9.7,58.4,40.6
Exp3,9,5,100,0.0,-6.5,-4.2,-7.6,100.0,81.8
Handcrafted1,9,7,50,0.0,-3.8,0.0,-9.5,64.6,51.4
Handcrafted2,9,7,50,0.0,-4.2,-8.5,-11.7,81.3,57.1
Random,9,7,50,0.0,-29.4,0.0,-119.2,2.1,-146.6
Exp1,9,7,50,0.0,-2.4,-2.7,-5.8,81.3,70.4
Exp2,9,7,50,0.0,-5.6,0.0,-11.5,56.3,39.3
Exp3,9,7,50,0.0,-4.1,-4.9,-8.8,83.4,65.8
Handcrafted1,9,7,60,0.0,-9.2,0.0,-15.7,54.2,29.4
Handcrafted2,9,7,60,0.0,-0.5,-13.6,-3.2,100.0,82.9
Random,9,7,60,0.0,-29.5,0.0,-119.4,2.1,-146.8
Exp1,9,7,60,0.0,-3.2,-3.2,-5.8,70.9,58.9
Exp2,9,7,60,0.0,-1.7,0.0,-3.5,87.5,82.4
Exp3,9,7,60,0.0,-5.0,-3.2,-6.0,73.0,58.9
Handcrafted1,9,7,80,0.0,-10.6,0.0,-18.1,81.3,52.6
Handcrafted2,9,7,80,0.0,-8.9,-6.9,-19.1,100.0,65.3
Random,9,7,80,0.0,-29.4,0.0,-118.0,0.0,-147.4
Exp1,9,7,80,0.0,-2.7,-1.8,-4.7,100.0,90.9
Exp2,9,7,80,0.0,-7.3,0.0,-7.9,35.5,20.3
Exp3,9,7,80,0.0,-6.8,-9.3,-14.9,85.5,54.6
Handcrafted1,9,7,100,0.0,-6.5,0.0,-14.6,100.0,79.0
Handcrafted2,9,7,100,0.0,-12.1,-6.2,-21.3,100.0,60.5
Random,9,7,100,0.0,-29.7,0.0,-119.7,2.1,-147.3
Exp1,9,7,100,0.0,-11.0,-7.8,-12.7,48.0,16.6
Exp2,9,7,100,0.0,-10.2,0.0,-6.2,87.5,71.3
Exp3,9,7,100,0.0,-11.9,-7.8,-12.5,85.5,53.4
Handcrafted1,9,9,50,0.0,-1.5,0.0,-4.1,89.6,84.2
