btree,gridDimensions,gridObstacles,maxSimSteps,treeComplexityPenalty,backtrackingPenalty,collisionPenalty,phototaxisReward,fitness
Handcrafted1,9,7,50,0.0,-5.8,-3.4,31.3,22.2
Handcrafted2,9,7,50,0.0,-4.5,-14.8,100.0,80.9
Random,9,7,50,0.0,-29.4,-99.4,2.1,-126.7
Handcrafted1,9,7,60,0.0,-7.2,-5.6,70.9,58.2
Handcrafted2,9,7,60,0.0,-7.1,-16.6,100.0,76.5
Random,9,7,60,0.0,-29.5,-99.5,2.1,-126.9
Handcrafted1,9,7,80,0.0,-9.7,-7.9,91.7,74.3
Handcrafted2,9,7,80,0.0,-5.5,-12.3,100.0,82.4
Random,9,7,80,0.0,-29.4,-98.8,6.3,-121.9
Handcrafted1,9,7,100,0.0,-9.0,-8.3,70.9,53.7
Handcrafted2,9,7,100,0.0,-10.9,-23.8,100.0,65.5
Random,9,7,100,0.0,-29.7,-99.7,2.1,-127.3
Handcrafted1,9,9,50,0.0,-3.6,-3.2,95.9,89.2
Handcrafted2,9,9,50,0.0,-5.1,-13.7,100.0,81.3
Random,9,9,50,0.0,-29.0,-96.7,2.1,-123.6
Handcrafted1,9,9,60,0.0,-6.4,-2.3,62.5,54.0
Handcrafted2,9,9,60,0.0,-10.4,-19.4,87.5,57.8
Random,9,9,60,0.0,-28.9,-95.6,12.5,-111.9
Handcrafted1,9,9,80,0.0,-7.1,-8.6,52.1,36.5
Handcrafted2,9,9,80,0.0,-5.5,-14.9,100.0,79.7
Random,9,9,80,0.0,-28.9,-95.0,8.4,-115.6
Handcrafted1,9,9,100,0.0,-9.4,-7.7,68.8,51.7
Handcrafted2,9,9,100,0.0,-5.0,-16.4,100.0,78.8
Random,9,9,100,0.0,-29.3,-96.7,4.2,-121.8
